Rede;Etapa;Componente Curricular;Código da Regional;Município;Previstos;Avaliados;Avaliados (%);Proficiência Média;Abaixo do básico;Básico;Proficiente;Avançado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%);H 19 (%);H 20 (%);H 21 (%);H 22 (%);H 23 (%);H 24 (%);H 25 (%);H 26 (%)
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000027;FUNDAO;46;45;98;270;38%;29%;31%;2%;73;17;63;67;67;75;49;76;56;70;50;67;69;50;62;52;58;61;75;52;88;67;69;63;33;59
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000027;SANTA TERESA;31;31;100;305;13%;19%;55%;13%;74;88;81;78;83;80;69;89;68;89;64;79;62;91;81;77;76;78;77;63;95;100;88;56;63;61
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000027;SERRA;459;442;96;279;25%;38%;33%;5%;70;40;74;73;73;72;61;77;58;74;52;66;60;67;65;62;64;63;70;59;87;75;71;57;42;62
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000027;VITORIA;726;693;95;291;16%;35%;43%;5%;73;44;80;75;79;78;70;86;62;81;64;70;68;75;73;67;71;65;76;63;91;81;77;64;42;67
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000028;ALFREDO CHAVES;20;20;100;287;15%;45%;35%;5%;63;27;75;79;74;73;71;95;65;79;56;72;57;78;71;64;73;65;74;65;88;91;75;73;36;57
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000028;ANCHIETA;219;215;98;294;14%;36%;45%;6%;76;57;80;79;84;80;72;86;63;82;57;69;65;80;75;70;73;73;76;57;92;82;80;71;40;66
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000028;GUARAPARI;59;51;86;247;47%;35%;18%;0%;57;35;47;49;64;44;49;62;40;53;43;49;48;53;61;57;47;52;63;46;76;50;52;52;15;52
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000028;VILA VELHA;553;521;94;276;27%;39%;31%;4%;68;37;72;74;69;70;62;80;52;76;57;68;56;71;63;55;62;62;71;55;86;76;72;56;41;63
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000029;CARIACICA;307;283;92;262;38%;33%;27%;2%;62;31;63;62;60;65;57;68;51;65;50;58;53;68;59;52;55;52;65;52;79;69;67;60;38;53
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000029;MARECHAL FLORIANO;16;16;100;310;6%;31%;44%;19%;83;44;81;72;84;89;83;89;74;83;88;75;68;88;73;88;89;84;76;60;94;78;79;67;56;74
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000029;SANTA LEOPOLDINA;18;18;100;267;33%;44%;11%;11%;62;10;65;57;71;70;67;65;67;69;50;73;52;50;50;35;60;57;60;69;90;50;60;40;30;62
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000029;VIANA;88;79;90;271;33%;30%;35%;1%;64;34;67;68;74;71;53;82;59;69;44;54;58;66;59;51;65;60;65;50;82;72;79;54;48;57
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000030;JOAO NEIVA;43;42;98;297;7%;48%;38%;7%;71;54;85;77;81;90;65;81;56;85;64;78;75;85;69;72;67;71;77;61;96;96;97;75;42;75
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000030;LINHARES;161;153;95;274;28%;41%;26%;5%;72;34;64;65;71;67;62;78;53;71;55;62;61;67;62;58;66;62;74;59;89;69;72;58;47;62
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000030;RIO BANANAL;51;50;98;292;18%;42%;36%;4%;76;33;84;76;79;76;66;88;56;83;53;72;61;87;75;61;79;56;73;66;95;85;73;63;59;59
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000030;SOORETAMA;50;49;98;281;24%;43%;29%;4%;62;29;70;77;72;85;61;77;60;78;52;60;61;74;47;52;68;71;80;63;93;71;81;63;33;68
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000031;JAGUARE;30;30;100;281;23%;37%;37%;3%;71;19;68;74;74;79;65;79;64;91;65;77;60;70;70;51;59;60;65;56;88;81;84;76;71;60
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000031;PEDRO CANARIO;17;17;100;260;41%;24%;29%;6%;65;60;55;60;55;85;50;75;56;65;42;38;47;48;62;48;67;47;50;69;64;90;53;78;22;63
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000031;SAO MATEUS;23;22;96;311;5%;32%;50%;14%;96;50;88;84;84;92;80;88;77;81;53;84;73;100;74;84;54;88;76;74;96;75;79;100;58;62
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000032;AGUA DOCE DO NORTE;32;30;94;278;20%;43%;37%;0%;73;38;66;69;83;76;57;82;60;70;39;68;54;78;64;67;72;57;82;46;94;88;78;50;56;54
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000032;AGUIA BRANCA;19;19;100;253;47%;32%;21%;0%;62;50;52;68;45;52;55;73;43;75;53;63;35;65;29;37;82;39;62;59;81;40;53;70;40;61
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000032;ECOPORANGA;36;36;100;250;47%;31%;17%;6%;51;43;49;68;59;48;56;54;57;61;55;42;44;40;53;59;48;50;57;43;71;67;53;33;43;51
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000033;BOA ESPERANCA;57;56;98;268;36%;36%;23%;5%;63;35;73;71;71;63;56;76;50;71;45;58;52;72;57;46;63;63;66;51;80;65;69;63;41;70
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000033;NOVA VENECIA;93;93;100;296;12%;39%;43%;6%;76;41;83;83;74;79;62;85;66;89;63;70;67;83;63;67;75;80;79;64;93;83;78;70;46;69
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000033;PINHEIROS;17;17;100;289;18%;35%;47%;0%;72;11;94;72;74;90;61;85;57;80;81;79;70;83;56;56;70;60;68;69;89;56;60;60;60;60
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000033;VILA PAVAO;19;19;100;257;58%;16%;26%;0%;73;18;73;68;61;55;55;82;43;56;44;50;36;59;44;41;50;41;62;44;86;73;24;50;50;59
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000034;BAIXO GUANDU;93;84;90;267;42%;24%;35%;0%;61;33;64;68;63;69;59;79;55;71;46;66;49;73;51;57;55;53;71;58;85;61;56;60;40;57
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000034;COLATINA;149;145;97;280;28%;35%;30%;7%;65;43;77;74;67;71;67;79;51;76;56;69;68;68;62;59;65;61;72;63;91;70;73;66;38;64
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000034;ITAGUACU;51;49;96;282;33%;33%;27%;8%;69;41;80;77;76;70;59;77;56;75;61;73;63;70;61;54;63;53;74;49;91;72;81;69;41;63
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000034;MARILANDIA;37;36;97;279;22%;36%;39%;3%;67;16;82;79;50;80;64;85;62;84;64;67;55;71;52;60;68;60;71;68;93;74;67;58;42;67
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000034;SAO ROQUE DO CANAA;23;23;100;294;4%;65%;22%;9%;72;33;74;85;88;88;65;85;57;94;68;86;74;80;60;66;50;56;67;60;100;92;100;62;31;70
