Rede;Etapa;Componente Curricular;Código da Regional;Município;Previstos;Avaliados;Avaliados (%);Proficiência Média;Abaixo do básico;Básico;Proficiente;Avançado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%);H 19 (%);H 20 (%);H 21 (%);H 22 (%);H 23 (%);H 24 (%);H 25 (%);H 26 (%)
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000027;FUNDAO;24;22;92;252;59%;14%;27%;0%;58;25;68;67;60;63;58;63;43;64;47;44;44;43;48;52;42;43;57;38;84;67;71;42;50;32
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000027;SANTA TERESA;125;121;97;295;10%;41%;44%;5%;78;51;83;82;78;79;70;86;59;81;60;71;67;85;71;69;66;66;78;61;94;85;82;71;50;61
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000027;SERRA;3123;2688;86;264;37%;37%;24%;3%;64;34;65;66;65;65;58;73;46;68;49;58;53;63;56;52;54;55;66;49;83;67;66;58;40;59
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000027;VITORIA;1913;1694;89;275;28%;40%;29%;4%;67;38;70;71;70;72;62;77;53;73;56;65;60;68;64;57;59;60;70;56;86;74;73;58;44;59
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000028;ALFREDO CHAVES;53;43;81;289;12%;51%;33%;5%;73;33;84;77;70;73;88;81;43;85;58;56;68;83;63;58;50;67;80;53;94;93;79;64;43;70
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000028;ANCHIETA;103;98;95;290;11%;49%;35%;5%;66;33;81;79;82;75;71;86;64;80;67;64;63;81;67;67;63;65;68;64;96;85;74;75;41;65
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000028;GUARAPARI;814;709;87;260;41%;34%;22%;4%;59;36;63;60;65;65;56;70;48;65;48;57;53;60;59;54;51;52;63;48;81;66;63;51;35;56
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000028;PIUMA;98;91;93;288;19%;38%;37%;5%;80;39;78;78;81;79;64;90;48;82;61;67;61;85;68;60;60;53;77;57;91;71;79;72;53;63
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000028;VILA VELHA;2125;1884;89;276;27%;38%;31%;4%;68;40;72;71;71;70;62;78;52;73;55;67;60;71;63;59;62;60;72;54;86;74;70;59;40;62
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000029;CARIACICA;2237;1914;86;260;40%;35%;23%;3%;62;31;61;64;63;64;55;69;46;65;50;57;51;64;55;50;57;52;65;49;80;64;63;56;37;55
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000029;MARECHAL FLORIANO;132;118;89;308;8%;33%;50%;9%;84;50;84;86;77;87;73;88;68;94;70;79;72;84;84;75;85;82;81;75;96;85;90;69;51;73
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000029;SANTA LEOPOLDINA;54;31;57;251;48%;29%;19%;3%;62;25;74;76;48;59;53;59;38;57;50;54;46;53;40;32;45;47;68;28;79;38;63;76;59;38
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000029;VIANA;548;474;86;256;44%;34%;21%;1%;60;29;61;62;63;61;54;68;40;63;46;57;50;59;56;51;50;52;65;46;79;63;64;53;33;51
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000030;ARACRUZ;732;629;86;269;33%;36%;27%;4%;66;36;69;69;65;68;58;71;50;70;54;61;55;68;56;52;55;56;66;51;85;68;66;56;45;59
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000030;IBIRACU;62;54;87;277;28%;43%;24%;6%;75;39;67;76;74;69;71;79;66;78;48;57;48;60;70;56;62;68;80;52;95;70;68;70;43;62
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000030;JOAO NEIVA;38;32;84;256;50%;22%;25%;3%;46;44;67;50;57;58;44;73;53;71;32;59;51;66;50;61;50;54;57;37;87;63;60;35;47;59
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000030;LINHARES;920;792;86;265;36%;37%;25%;2%;62;36;67;63;66;69;55;73;47;66;52;59;55;65;55;55;53;54;67;53;83;66;66;58;40;57
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000030;RIO BANANAL;83;77;93;277;23%;39%;36%;1%;70;35;77;71;70;67;57;80;58;76;52;67;63;69;58;60;53;60;79;65;94;70;77;70;58;56
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000030;SOORETAMA;142;125;88;263;36%;41%;22%;1%;64;34;69;67;67;70;60;78;38;60;44;68;54;64;51;46;55;50;65;50;87;63;62;48;40;60
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000031;CONCEICAO DA BARRA;210;196;93;264;34%;45%;19%;2%;67;25;65;73;67;65;56;76;43;71;50;61;56;62;54;49;63;49;67;45;85;74;67;46;35;55
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000031;JAGUARE;186;174;94;277;28%;41%;26%;5%;71;35;73;71;72;71;60;82;51;77;57;67;56;73;56;55;62;57;72;50;89;70;76;65;51;64
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000031;PEDRO CANARIO;179;164;92;266;33%;43%;18%;5%;64;36;68;66;63;65;57;75;43;66;51;58;55;70;56;50;53;58;68;46;84;68;67;55;38;61
ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;000031;SAO MATEUS;951;878;92;275;28%;37%;31%;4%;69;38;71;68;72;73;59;79;54;74;51;67;57;73;59;63;54;65;70;60;85;68;70;67;39;61
