Avaliação;Rede;Ano Escolar;Componente Curricular;Estado;Regional;Município;Previstos;Avaliados;Avaliados (%);Proficiência Média;Abaixo do básico;Básico;Proficiente;Avançado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%);H 19 (%);H 20 (%);H 21 (%);H 22 (%);H 23 (%);H 24 (%);H 25 (%);H 26 (%)
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;ESPÍRITO SANTO;SRE AFONSO CLAUDIO;AFONSO CLAUDIO;205;192;94;284;21%;41%;34%;4%;75;51;83;86;78;60;67;78;64;88;62;78;65;73;76;59;44;59;53;95;68;72;47;40;75;71
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;ESPÍRITO SANTO;SRE AFONSO CLAUDIO;BREJETUBA;132;126;95;296;14%;37%;43%;6%;84;42;89;89;89;73;71;81;74;88;78;91;71;82;85;68;44;72;64;92;73;73;50;50;83;69
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;ESPÍRITO SANTO;SRE AFONSO CLAUDIO;CONCEICAO DO CASTELO;81;77;95;286;22%;39%;35%;4%;80;39;82;78;78;61;64;81;61;90;74;72;67;74;79;60;51;63;65;88;70;71;46;43;81;77
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;ESPÍRITO SANTO;SRE AFONSO CLAUDIO;DOMINGOS MARTINS;262;254;97;297;14%;34%;42%;10%;82;61;85;84;83;71;75;80;65;88;75;80;67;82;82;65;59;72;61;92;69;76;59;46;83;70
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;ESPÍRITO SANTO;SRE AFONSO CLAUDIO;LARANJA DA TERRA;90;89;99;300;12%;38%;38%;11%;84;60;95;89;89;74;74;77;72;95;64;83;73;90;78;63;56;65;61;94;70;76;55;51;82;74
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;ESPÍRITO SANTO;SRE AFONSO CLAUDIO;SANTA MARIA DE JETIBA;247;244;99;300;9%;39%;47%;6%;87;53;90;88;84;72;72;81;72;88;69;85;76;81;91;66;52;69;65;94;68;75;58;52;84;73
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;ESPÍRITO SANTO;SRE AFONSO CLAUDIO;VENDA NOVA DO IMIGRANTE;161;151;94;298;10%;40%;41%;9%;81;61;92;90;89;71;73;79;73;94;65;88;74;80;86;63;51;65;58;94;72;77;54;40;86;74
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;ESPÍRITO SANTO;SRE BARRA DE SAO FRANCISCO;AGUA DOCE DO NORTE;107;103;96;274;30%;39%;26%;5%;72;32;86;79;66;61;64;71;60;80;52;74;54;73;84;52;38;55;59;85;57;68;44;39;86;60
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;ESPÍRITO SANTO;SRE BARRA DE SAO FRANCISCO;AGUIA BRANCA;108;107;99;281;22%;43%;31%;4%;69;57;80;80;77;59;71;79;59;79;60;87;63;62;73;52;47;63;52;92;58;75;58;34;82;68
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;ESPÍRITO SANTO;SRE BARRA DE SAO FRANCISCO;BARRA DE SAO FRANCISCO;302;300;99;283;19%;46%;32%;4%;76;39;86;81;80;61;67;73;57;87;65;74;64;73;81;65;50;67;59;89;62;72;47;36;77;70
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;ESPÍRITO SANTO;SRE BARRA DE SAO FRANCISCO;ECOPORANGA;179;175;98;271;29%;46%;21%;5%;66;44;80;75;71;61;66;72;51;78;55;64;61;61;74;52;48;63;57;84;54;68;52;27;74;60
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;ESPÍRITO SANTO;SRE BARRA DE SAO FRANCISCO;MANTENOPOLIS;120;114;95;294;16%;37%;37%;11%;79;55;87;84;88;72;68;80;68;87;64;85;68;72;79;66;55;69;57;93;68;76;55;36;84;69
PAEBES 2024;ESTADUAL;ENSINO MEDIO - 3ª SERIE;LP;ESPÍRITO SANTO;SRE CACHOEIRO DE ITAPEMIRIM;ATILIO VIVACQUA;86;86;100;323;6%;20%;49%;26%;91;81;96;92;89;88;73;89;74;95;80;89;82;92;88;87;77;69;60;94;82;79;69;60;87;88
