CD_REGIONAL,NM_REGIONAL,CD_MUNICIPIO,NM_MUNICIPIO,CD_ESCOLA,NM_ESCOLA,CD_ETAPA_AVALIADA,DC_ETAPA_AVALIADA,NM_DISCIPLINA,NU_ACERTO_24,NU_TOTAL_24,TX_ACERTO_24,ct_alto_24,ct_medio_24,ct_baixo_24,ct_muito_baixo_24,NU_ACERTO_25,NU_TOTAL_25,TX_ACERTO_25,ct_alto_25,ct_medio_25,ct_baixo_25,ct_muito_baixo_25
27,SRE CARAPINA,3202207,FUNDAO,32020910,CEEFMTI NAIR MIRANDA,26,ENSINO MEDIO - 2ª SERIE,Língua Portuguesa,731.0,1220.0,59.91803278688525,7,34,16,4,633.0,1160.0,54.56896551724138,5,28,20,5
27,SRE CARAPINA,3202207,FUNDAO,32020910,CEEFMTI NAIR MIRANDA,26,ENSINO MEDIO - 2ª SERIE,Matemática,421.0,1180.0,35.67796610169491,2,8,27,22,486.0,1220.0,39.83606557377049,2,9,37,13
27,SRE CARAPINA,3202207,FUNDAO,32061943,EEEFM PROFESSORA MARIA DA PAZ PIMENTEL,26,ENSINO MEDIO - 2ª SERIE,Língua Portuguesa,504.0,900.0,56.0,4,25,12,4,735.0,1020.0,72.05882352941177,20,28,2,1
27,SRE CARAPINA,3202207,FUNDAO,32061943,EEEFM PROFESSORA MARIA DA PAZ PIMENTEL,26,ENSINO MEDIO - 2ª SERIE,Matemática,262.0,900.0,29.11111111111111,0,1,23,21,532.0,1000.0,53.2,4,21,21,4
27,SRE CARAPINA,3204609,SANTA TERESA,32032951,EEEFM JOSE PINTO COELHO,26,ENSINO MEDIO - 2ª SERIE,Língua Portuguesa,1649.0,2440.0,67.58196721311475,30,77,14,1,1433.0,2300.0,62.30434782608695,16,74,21,4
27,SRE CARAPINA,3204609,SANTA TERESA,32032951,EEEFM JOSE PINTO COELHO,26,ENSINO MEDIO - 2ª SERIE,Matemática,819.0,1640.0,49.9390243902439,15,19,30,18,1196.0,2400.0,49.833333333333336,8,42,60,10
27,SRE CARAPINA,3204609,SANTA TERESA,32033478,EEEFM FREDERICO PRETTI,26,ENSINO MEDIO - 2ª SERIE,Língua Portuguesa,753.0,1140.0,66.05263157894737,16,33,8,0,1012.0,1540.0,65.71428571428571,16,49,9,3
27,SRE CARAPINA,3204609,SANTA TERESA,32033478,EEEFM FREDERICO PRETTI,26,ENSINO MEDIO - 2ª SERIE,Matemática,659.0,1120.0,58.83928571428572,9,31,10,6,926.0,1640.0,56.46341463414634,15,36,20,11
27,SRE CARAPINA,3205002,SERRA,32035500,EEEFM PROFESSOR JOAO ANTUNES DAS DORES,26,ENSINO MEDIO - 2ª SERIE,Língua Portuguesa,1305.0,2500.0,52.2,6,61,47,11,1227.0,2440.0,50.28688524590164,5,55,49,13
27,SRE CARAPINA,3205002,SERRA,32035500,EEEFM PROFESSOR JOAO ANTUNES DAS DORES,26,ENSINO MEDIO - 2ª SERIE,Matemática,664.0,2660.0,24.962406015037597,1,8,40,84,985.0,2460.0,40.040650406504064,6,26,54,37
27,SRE CARAPINA,3205002,SERRA,32035519,EEEFM PROF JOAO LOYOLA,26,ENSINO MEDIO - 2ª SERIE,Língua Portuguesa,3900.0,7600.0,51.31578947368421,17,174,148,41,3925.0,7800.0,50.32051282051282,33,149,154,54
27,SRE CARAPINA,3205002,SERRA,32035519,EEEFM PROF JOAO LOYOLA,26,ENSINO MEDIO - 2ª SERIE,Matemática,1965.0,7340.0,26.77111716621253,2,16,137,212,3403.0,7920.0,42.96717171717172,17,108,185,86
27,SRE CARAPINA,3205002,SERRA,32035527,EEEM CLOVIS BORGES MIGUEL,26,ENSINO MEDIO - 2ª SERIE,Língua Portuguesa,4071.0,6780.0,60.04424778761062,54,180,85,20,2739.0,4680.0,58.52564102564103,23,141,57,13
27,SRE CARAPINA,3205002,SERRA,32035527,EEEM CLOVIS BORGES MIGUEL,26,ENSINO MEDIO - 2ª SERIE,Matemática,2475.0,6660.0,37.16216216216216,19,44,159,111,2284.0,4700.0,48.59574468085106,19,87,92,37
27,SRE CARAPINA,3205002,SERRA,32036124,EEEFM ELICE BAPTISTA GAUDIO,26,ENSINO MEDIO - 2ª SERIE,Língua Portuguesa,915.0,1860.0,49.193548387096776,3,39,37,14,1486.0,2560.0,58.046875,14,71,33,10
27,SRE CARAPINA,3205002,SERRA,32036124,EEEFM ELICE BAPTISTA GAUDIO,26,ENSINO MEDIO - 2ª SERIE,Matemática,503.0,1940.0,25.927835051546392,0,4,36,57,977.0,2700.0,36.18518518518518,2,17,70,46
27,SRE CARAPINA,3205002,SERRA,32036205,EEEFM MARINETE DE SOUZA LIRA,26,ENSINO MEDIO - 2ª SERIE,Língua Portuguesa,3671.0,6420.0,57.18068535825545,36,171,96,18,2505.0,4860.0,51.54320987654321,15,108,96,24
27,SRE CARAPINA,3205002,SERRA,32036205,EEEFM MARINETE DE SOUZA LIRA,26,ENSINO MEDIO - 2ª SERIE,Matemática,1827.0,6280.0,29.09235668789809,10,24,109,171,1681.0,5060.0,33.22134387351779,4,28,113,108
27,SRE CARAPINA,3205002,SERRA,32036442,EEEFM NOVA CARAPINA,26,ENSINO MEDIO - 2ª SERIE,Língua Portuguesa,1646.0,3080.0,53.44155844155844,15,68,52,19,1703.0,2800.0,60.82142857142857,15,88,31,6
27,SRE CARAPINA,3205002,SERRA,32036442,EEEFM NOVA CARAPINA,26,ENSINO MEDIO - 2ª SERIE,Matemática,820.0,2980.0,27.516778523489933,3,8,47,91,1126.0,2800.0,40.21428571428572,7,24,74,35
27,SRE CARAPINA,3205002,SERRA,32036493,EEEFM PROF JURACI MACHADO,26,ENSINO MEDIO - 2ª SERIE,Língua Portuguesa,197.0,400.0,49.25,0,12,6,2,704.0,1340.0,52.53731343283582,3,32,27,5
27,SRE CARAPINA,3205002,SERRA,32036493,EEEFM PROF JURACI MACHADO,26,ENSINO MEDIO - 2ª SERIE,Matemática,97.0,400.0,24.25,0,0,8,12,552.0,1340.0,41.19402985074627,4,15,31,17
27,SRE CARAPINA,3205002,SERRA,32036523,EEEFM ROMULO CASTELLO,26,ENSINO MEDIO - 2ª SERIE,Língua Portuguesa,2905.0,5180.0,56.08108108108108,23,129,94,13,1973.0,3400.0,58.02941176470589,9,106,50,5
27,SRE CARAPINA,3205002,SERRA,32036523,EEEFM ROMULO CASTELLO,26,ENSINO MEDIO - 2ª SERIE,Matemática,1660.0,5300.0,31.32075471698113,7,17,116,125,1409.0,3340.0,42.18562874251497,6,33,100,28
27,SRE CARAPINA,3205002,SERRA,32036531,EEEFM SIZENANDO PECHINCHA,26,ENSINO MEDIO - 2ª SERIE,Língua Portuguesa,2663.0,4380.0,60.79908675799087,29,130,52,8,2322.0,4220.0,55.02369668246445,14,111,70,16
27,SRE CARAPINA,3205002,SERRA,32036531,EEEFM SIZENANDO PECHINCHA,26,ENSINO MEDIO - 2ª SERIE,Matemática,925.0,3380.0,27.366863905325445,1,10,62,96,2135.0,4040.0,52.84653465346535,30,73,70,29
27,SRE CARAPINA,3205002,SERRA,32036558,EEEFM BELMIRO TEIXEIRA PIMENTA,26,ENSINO MEDIO - 2ª SERIE,Língua Portuguesa,1166.0,2100.0,55.523809523809526,4,58,39,4,1179.0,2160.0,54.583333333333336,11,51,36,10
27,SRE CARAPINA,3205002,SERRA,32036558,EEEFM BELMIRO TEIXEIRA PIMENTA,26,ENSINO MEDIO - 2ª SERIE,Matemática,769.0,2060.0,37.33009708737864,1,22,41,39,955.0,2420.0,39.46280991735537,3,28,46,44
27,SRE CARAPINA,3205002,SERRA,32036566,EEEFM CLOTILDE RATO,26,ENSINO MEDIO - 2ª SERIE,Língua Portuguesa,1504.0,2580.0,58.29457364341085,15,72,35,7,1322.0,2540.0,52.04724409448819,12,55,46,14
27,SRE CARAPINA,3205002,SERRA,32036566,EEEFM CLOTILDE RATO,26,ENSINO MEDIO - 2ª SERIE,Matemática,799.0,2500.0,31.96,3,14,46,62,955.0,2580.0,37.01550387596899,1,18,74,36
27,SRE CARAPINA,3205002,SERRA,32036582,EEEFM PROF HILDA MIRANDA NASCIMENTO,26,ENSINO MEDIO - 2ª SERIE,Língua Portuguesa,3358.0,5260.0,63.84030418250951,51,154,50,8,3207.0,5000.0,64.14,42,158,45,5
27,SRE CARAPINA,3205002,SERRA,32036582,EEEFM PROF HILDA MIRANDA NASCIMENTO,26,ENSINO MEDIO - 2ª SERIE,Matemática,2183.0,5000.0,43.66,24,52,105,69,2626.0,4880.0,53.81147540983606,46,70,107,21
