CD_ESCOLA,NM_ESCOLA,CD_MUNICIPIO,NM_MUNICIPIO,CD_REGIONAL,NM_REGIONAL,NU_ACERTO,NU_TOTAL,TX_ACERTO
32000057,EEEFM SEBASTIAO COIMBRA ELIZEU,3200169,AGUA DOCE DO NORTE,32,SRE BARRA DE SAO FRANCISCO,3167.0,6800.0,46.5735294117647
32000480,EEEFM OLEGARIO MARTINS,3200169,AGUA DOCE DO NORTE,32,SRE BARRA DE SAO FRANCISCO,569.0,1500.0,37.93333333333333
32000499,EEEFM DERMEVAL LEITE RIBEIRO,3200169,AGUA DOCE DO NORTE,32,SRE BARRA DE SAO FRANCISCO,1457.0,2820.0,51.666666666666664
32000979,EEEFM GOVERNADOR LINDENBERG,3200904,BARRA DE SAO FRANCISCO,32,SRE BARRA DE SAO FRANCISCO,4481.0,11600.0,38.62931034482759
32000987,CEEFMTI JOAO XXIII,3200904,BARRA DE SAO FRANCISCO,32,SRE BARRA DE SAO FRANCISCO,5131.0,9800.0,52.357142857142854
32001592,EEEF ITA,3200904,BARRA DE SAO FRANCISCO,32,SRE BARRA DE SAO FRANCISCO,374.0,560.0,66.78571428571429
32001606,EEEFM ALADIM SILVESTRE DE ALMEIDA,3200904,BARRA DE SAO FRANCISCO,32,SRE BARRA DE SAO FRANCISCO,1366.0,2960.0,46.148648648648646
32001916,EEEFM PROFESSORA ASCENDINA FEITOSA,3200904,BARRA DE SAO FRANCISCO,32,SRE BARRA DE SAO FRANCISCO,2231.0,4380.0,50.93607305936073
32002408,EEEF FRANCISCO LOURENCO ANDRADE,3200904,BARRA DE SAO FRANCISCO,32,SRE BARRA DE SAO FRANCISCO,221.0,460.0,48.04347826086956
32002939,CEEFMTI DANIEL COMBONI,3202108,ECOPORANGA,32,SRE BARRA DE SAO FRANCISCO,1745.0,3920.0,44.515306122448976
32002971,EEEF PATRIMONIO PRATA DOS BAIANOS,3202108,ECOPORANGA,32,SRE BARRA DE SAO FRANCISCO,164.0,340.0,48.23529411764706
32002998,EEEF SANTA TEREZINHA,3202108,ECOPORANGA,32,SRE BARRA DE SAO FRANCISCO,545.0,940.0,57.97872340425532
