cod_inep,nome_escola,municipio,latitude,longitude,idebes,ama_nu_acerto,ama_nu_total,ama_tx_acerto,olimpiada,participante,regional
32000057,EEEFM SEBASTIAO COIMBRA ELIZEU,ÁGUA DOCE DO NORTE,-18.550061,-40.9775337,4.6,3167.0,6800.0,46.5735294117647,6.791666666666667,1,SRE Barra de São Francisco
32000480,EEEFM OLEGARIO MARTINS,ÁGUA DOCE DO NORTE,-18.41686,-41.12352,4.3,569.0,1500.0,37.93333333333333,6.25,0,SRE Barra de São Francisco
32000499,EEEFM DERMEVAL LEITE RIBEIRO,ÁGUA DOCE DO NORTE,-18.4163464,-41.0317018,3.9,1457.0,2820.0,51.66666666666666,8.133333333333333,0,SRE Barra de São Francisco
32000979,EEEFM GOVERNADOR LINDENBERG,BARRA DE SÃO FRANCISCO,-18.749677,-40.8936694,4.5,4481.0,11600.0,38.62931034482759,4.297297297297297,1,SRE Barra de São Francisco
32000987,CEEFMTI JOAO XXIII,BARRA DE SÃO FRANCISCO,-18.7559555,-40.8981092,5.1,5131.0,9800.0,52.35714285714285,5.32,0,SRE Barra de São Francisco
32001592,EEEF ITA,BARRA DE SÃO FRANCISCO,-18.6281014,-40.8690404,0.0,374.0,560.0,66.78571428571429,0.0,1,SRE Barra de São Francisco
32001606,EEEFM ALADIM SILVESTRE DE ALMEIDA,BARRA DE SÃO FRANCISCO,-18.5854224,-40.8870801,4.2,1366.0,2960.0,46.148648648648646,4.125,0,SRE Barra de São Francisco
32001916,EEEFM PROFESSORA ASCENDINA FEITOSA,BARRA DE SÃO FRANCISCO,-18.6638191,-40.7956295,4.2,2231.0,4380.0,50.93607305936073,5.5,0,SRE Barra de São Francisco
32002408,EEEF FRANCISCO LOURENCO ANDRADE,BARRA DE SÃO FRANCISCO,-18.8375065,-40.7813388,0.0,221.0,460.0,48.04347826086956,0.0,0,SRE Barra de São Francisco
32002939,CEEFMTI DANIEL COMBONI,ECOPORANGA,-18.3690006,-40.8297716,5.3,1745.0,3920.0,44.515306122448976,6.142857142857143,1,SRE Barra de São Francisco
32002971,EEEF PATRIMONIO PRATA DOS BAIANOS,ECOPORANGA,-18.3398578,-41.0053061,0.0,164.0,340.0,48.23529411764706,0.0,0,SRE Barra de São Francisco
32002998,EEEF SANTA TEREZINHA,ECOPORANGA,-18.4925603,-40.8116254,0.0,545.0,940.0,57.97872340425532,0.0,0,SRE Barra de São Francisco
