CD_ESCOLA,NM_ESCOLA,NM_MUNICIPIO,NM_REGIONAL,TX_ACERTO_24,TX_ACERTO_25,evolucao_pct,cod_inep,latitude,longitude
32000057,EEEFM SEBASTIAO COIMBRA ELIZEU,AGUA DOCE DO NORTE,SRE BARRA DE SAO FRANCISCO,45.911960132890364,44.09678060413355,-1.82,32000057,-18.550061,-40.9775337
32000480,EEEFM OLEGARIO MARTINS,AGUA DOCE DO NORTE,SRE BARRA DE SAO FRANCISCO,35.84935897435897,41.78571428571429,5.94,32000480,-18.41686,-41.12352
32000499,EEEFM DERMEVAL LEITE RIBEIRO,AGUA DOCE DO NORTE,SRE BARRA DE SAO FRANCISCO,56.92708333333333,70.26556776556777,13.34,32000499,-18.4163464,-41.0317018
32000979,EEEFM GOVERNADOR LINDENBERG,BARRA DE SAO FRANCISCO,SRE BARRA DE SAO FRANCISCO,44.20318851626016,47.373492063492066,3.17,32000979,-18.749677,-40.8936694
32000987,CEEFMTI JOAO XXIII,BARRA DE SAO FRANCISCO,SRE BARRA DE SAO FRANCISCO,51.17888888888889,50.08775552343589,-1.09,32000987,-18.7559555,-40.8981092
32001606,EEEFM ALADIM SILVESTRE DE ALMEIDA,BARRA DE SAO FRANCISCO,SRE BARRA DE SAO FRANCISCO,39.43108974358974,50.810810810810814,11.38,32001606,-18.5854224,-40.8870801
32002939,CEEFMTI DANIEL COMBONI,ECOPORANGA,SRE BARRA DE SAO FRANCISCO,61.570460704607044,58.730769230769226,-2.84,32002939,-18.3690006,-40.8297716
32003005,EEEFM ECOPORANGA,ECOPORANGA,SRE BARRA DE SAO FRANCISCO,41.80853457327133,55.32458138389559,13.52,32003005,-18.3724884,-40.8346091
32003790,EEEFM DE JOASSUBA SR ANTONIO PATRICIO DE FONTOURA,ECOPORANGA,SRE BARRA DE SAO FRANCISCO,42.5,41.789021164021165,-0.71,32003790,-18.3735458,-40.8321387
32004273,EEEFM CHRISTIANO DIAS LOPES,MANTENOPOLIS,SRE BARRA DE SAO FRANCISCO,56.288347069597066,49.612154150197625,-6.68,32004273,-18.8650174,-41.1251277
32004303,EEEFM JOB PIMENTEL,MANTENOPOLIS,SRE BARRA DE SAO FRANCISCO,38.75,53.8640873015873,15.11,32004303,-18.8599755,-41.1196113
32004532,EEEFM PALMERINDO VIEIRA CAMPOS,MANTENOPOLIS,SRE BARRA DE SAO FRANCISCO,45.16129032258064,47.34375,2.18,32004532,-18.8890299,-41.0157613
32005067,CEIER DE AGUIA BRANCA,AGUIA BRANCA,SRE BARRA DE SAO FRANCISCO,46.23301985370951,46.95075757575758,0.72,32005067,-19.0164403,-40.6522987
32005105,EEEFM PROFESSORA ANA MARIA CARLETTI QUIUQUI,AGUIA BRANCA,SRE BARRA DE SAO FRANCISCO,42.4375,51.23843021103295,8.8,32005105,-18.9852129,-40.7405355
32005601,CEIER DE BOA ESPERANCA,BOA ESPERANCA,SRE NOVA VENECIA,42.60416666666667,40.766666666666666,-1.84,32005601,-18.5381475,-40.2727633
32005652,EEEFM ANTONIO DOS SANTOS NEVES,BOA ESPERANCA,SRE NOVA VENECIA,53.5551948051948,51.931719496309164,-1.62,32005652,-18.5409241,-40.2984396
32005954,EEEFM SOBRADINHO,BOA ESPERANCA,SRE NOVA VENECIA,50.185185185185176,60.833333333333336,10.65,32005954,-18.428827,-40.3871896
32006330,EEEFM PROF ANA PORTELA DE SA,VILA PAVAO,SRE NOVA VENECIA,57.196969696969695,57.239583333333336,0.04,32006330,-18.6188245,-40.5992
32006330,EEEFM PROF ANA PORTELA DE SA,VILA PAVAO,SRE NOVA VENECIA,57.196969696969695,57.239583333333336,0.04,32006330,-18.6188245,-40.5992
32006349,EEEM DOM DANIEL COMBONI,NOVA VENECIA,SRE NOVA VENECIA,54.78045165843331,57.13787799131569,2.36,32006349,-18.7131139,-40.3985205
32007000,CEIER DE VILA PAVAO,VILA PAVAO,SRE NOVA VENECIA,46.94565217391305,53.47222222222223,6.53,32007000,-18.648928,-40.6139788
32007175,EEEFM ALARICO JOSE DE LIMA,NOVA VENECIA,SRE NOVA VENECIA,60.0,50.79468599033817,-9.21,32007175,-18.8316865,-40.7155985
32007515,EEEFM JOSE ZAMPROGNO,NOVA VENECIA,SRE NOVA VENECIA,56.45833333333333,51.15384615384615,-5.3,32007515,-18.4951432,-40.4662915
32007876,CEEFMTI GOVERNADOR GERSON CAMATA,SAO GABRIEL DA PALHA,SRE NOVA VENECIA,51.88121402407117,56.96428571428571,5.08,32007876,-19.0120073,-40.5351728
32008236,EEEFM VERA CRUZ,SAO GABRIEL DA PALHA,SRE NOVA VENECIA,52.76442307692308,60.0,7.24,32008236,-18.9038819,-40.4480899
32008503,EEEFM ATILIO VIVACQUA,VILA VALERIO,SRE NOVA VENECIA,54.23991228070175,55.498309668695065,1.26,32008503,-18.9986347,-40.3916761
32009038,EEEFM PASTOR ANTONIO NUNES DE CARVALHO,ALTO RIO NOVO,SRE COLATINA,57.705128205128204,54.37726942628903,-3.33,32009038,-19.0572609,-41.0184836
32009461,EEEFM JOSE DAMASCENO FILHO,BAIXO GUANDU,SRE COLATINA,41.09122292632176,43.30952380952381,2.22,32009461,-19.5099286,-41.0192887
32010699,EEEFM PROFESSORA NEA MONTEIRO COSTA,COLATINA,SRE COLATINA,43.45070422535211,50.06182795698925,6.61,32010699,-19.5279957,-40.6624371
