Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM SEBASTIAO COIMBRA ELIZEU,32000057,ES,Água Doce do Norte,Urbana,A escola não está em área de localização diferenciada,Pública,"PRACA ALMIRANTE BARROSO, SN CENTRO. 29820-000 Água Doce do Norte - ES.",(27) 37591234,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atendimento Educacional Especializado,-18.550061,-40.9775337
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM OLEGARIO MARTINS,32000480,ES,Água Doce do Norte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ANTONIO VITORINO DE OLIVEIRA, SN SANTA LUZIA DO AZUL. 29823-000 Água Doce do Norte - ES.",(27) 37597003,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-18.41686,-41.12352
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM DERMEVAL LEITE RIBEIRO,32000499,ES,Água Doce do Norte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ANTONIO DOS REIS, SN SANTO AGOSTINHO. 29824-000 Água Doce do Norte - ES.",(27) 37596097,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-18.4163464,-41.0317018
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM GOVERNADOR LINDENBERG,32000979,ES,Barra de São Francisco,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DIRCEU CARDOSO, 240 PD. IRMAOS FERNANDES. 29800-000 Barra de São Francisco - ES.",(27) 37561290,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-18.749677,-40.8936694
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEEFMTI JOAO XXIII,32000987,ES,Barra de São Francisco,Urbana,A escola não está em área de localização diferenciada,Pública,"ALAMEDA JOAO XXIII, 144 ESCOLA. VILA PEREIRA. 29800-000 Barra de São Francisco - ES.",(27) 37561577,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-18.7559555,-40.8981092
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF ITA,32001592,ES,Barra de São Francisco,Rural,A escola não está em área de localização diferenciada,Pública,"CORREGO DO ITA, SN ZONA RURAL. MONTE SINAI. 29800-000 Barra de São Francisco - ES.",(27) 998817501,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-18.6281014,-40.8690404
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM ALADIM SILVESTRE DE ALMEIDA,32001606,ES,Barra de São Francisco,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE TIAGO, SN ESCOLA. MONTE SINAI. 29800-000 Barra de São Francisco - ES.",(27) 98233377,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-18.5854224,-40.8870801
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEFM PROFESSORA ASCENDINA FEITOSA,32001916,ES,Barra de São Francisco,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE CHAVES, SN VILA PAULISTA. 29815-000 Barra de São Francisco - ES.",(27) 37566191,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-18.6638191,-40.7956295
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EEEF FRANCISCO LOURENCO ANDRADE,32002408,ES,Barra de São Francisco,Rural,A escola não está em área de localização diferenciada,Pública,"RUA FRANCISCO LOURENCO DE ANDRADE, 32 MONTE SENIR. 29800-000 Barra de São Francisco - ES.",(27) 88176110,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-18.8375065,-40.7813388
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEEFMTI DANIEL COMBONI,32002939,ES,Ecoporanga,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOAQUIM DE SOUZA LIMA, 260 NOSSA SRA APARECIDA. 29850-000 Ecoporanga - ES.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-18.3690006,-40.8297716
