COD_INEP;ESCOLA;IDEBES_2024
32027206;EEEFM JOSE ROBERTO CHRISTO;"4,1"
32027567;EEEFM MARIA DE ABREU ALVIM;"4,1"
32026552;EEEFM ALVARO CASTELO;"4,7"
32082037;EEEFM JOSE CUPERTINO;"4,7"
32028059;EEEFM PROF? ALDY SOARES MERCON VARGAS;"4,7"
32025920;CEEFMTI AFONSO CLAUDIO;"4,9"
32029594;EEEFM JOAQUIM CAETANO DE PAIVA;"4,9"
32080727;EEEM MATA FRIA;"4,9"
32028806;EEEFM PEDRA AZUL;5
32026846;EEEFM SAO JORGE;5
32030177;EEEFM FIORAVANTE CALIMAN;"5,1"
32032200;EEEFM FREDERICO BOLDT;"5,2"
32032234;EEEFM SAO LUIS;"5,2"
32082533;CEEFMTI ELISA PAIVA;"5,3"
32027753;EEEFM ELVIRA BARROS;"5,3"
32032579;EEEFM FAZENDA EMILIO SCHROEDER;"5,3"
32026536;EEEFM MARLENE BRANDAO;"5,4"
32028580;EEEFM TEOFILO PAULINO;"5,4"
32032633;EEEFM ALTO RIO POSSMOSER;"5,5"
32027540;EEEFM JOSE GIESTAS;"5,5"
32032269;EEEFM PROF HERMANN BERGER;"5,5"
32030142;EEEFM DOMINGOS PERIM;"5,7"
32029292;EEEFM GISELA SALLOKER FAYET;"5,7"
32032277;EEEFM GRACA ARANHA;"5,7"
32029438;EEEFM LUIZ JOUFFROY;"5,7"
32027532;EEEFM FAZENDA CAMPORES;"5,8"
32029306;EEEFM PONTO DO ALTO;"5,9"
32094604;EEEM FRANCISCO GUILHERME;"5,9"
32026480;EEEFM LEOGILDO SEVERIANO DE SOUZA;"6,1"
32078315;EEEM SOBREIRO;"6,2"
32000499;EEEFM DERMEVAL LEITE RIBEIRO;"3,9"
32001916;EEEFM PROFESSORA ASCENDINA FEITOSA;"4,2"
32001606;EEEFM ALADIM SILVESTRE DE ALMEIDA;"4,2"
32003005;EEEFM ECOPORANGA;"4,3"
32000480;EEEFM OLEGARIO MARTINS;"4,3"
32000979;EEEFM GOVERNADOR LINDENBERG;"4,5"
32004532;EEEFM PALMERINDO VIEIRA CAMPOS;"4,6"
32005105;EEEFM PROFESSORA ANA MARIA CARLETTI QUIUQUI;"4,6"
32000057;EEEFM SEBASTIAO COIMBRA ELIZEU;"4,6"
32003790;EEEFM DE JOASSUBA SR ANTONIO PATRICIO DE FONTOURA;"4,7"
32003595;EEEFM JOSE TEIXEIRA FIALHO;"4,7"
32000987;CEEFMTI JOAO XXIII;"5,1"
32004273;EEEFM CHRISTIANO DIAS LOPES;"5,2"
32002939;CEEFMTI DANIEL COMBONI;"5,3"
32004303;EEEFM JOB PIMENTEL;6
32005067;CEIER DE AGUIA BRANCA;6
32052693;EEEFM WILSON RESENDE;"4,4"
32060696;EEEFM ANTONIO JACQUES SOARES;"4,5"
32052499;EEEFM NEWTRO FERREIRA DE ALMEIDA;"4,5"
32057504;CEEFMTI SENADOR DIRCEU CARDOSO;"4,6"
32044950;EEEFM WALDEMIRO HEMERLY;"4,6"
32052545;EEEFM PROF CLAUDIONOR RIBEIRO;"4,7"
32079389;EEEFM VIRGINIA NOVA;"4,7"
32052103;EEEM CEI ATTILA DE ALMEIDA MIRANDA;"4,7"
32055510;EEEFM JERONIMO MONTEIRO;"4,8"
32055838;EEEFM MONSENHOR ELIAS TOMASI;"4,8"
32052529;EEEFM PRESIDENTE GETULIO VARGAS;"4,8"
32052847;EEEFM PROF PETRONILHA VIDIGAL;"4,8"
32055820;CEEFMTI ANTONIO ACHA;"4,9"
32052731;CEEFMTI LICEU MUNIZ FREIRE;5
32059850;EEEFM DOMINGOS JOSE MARTINS;5
32053860;EEEFM ZACHEU MOREIRA DA FRAGA;5
32059965;CEEFMTI WASHINGTON PINHEIRO MEIRELLES;"5,1"
32057474;EEEF MARCONDES DE SOUZA;"5,1"
32052316;EEEFM FRATERNIDADE E LUZ;"5,1"
32052405;EEEFM LIONS SEBASTIAO PAIVA VIDAURRE;"5,1"
32058918;EEEFM PRESIDENTE LUEBKE;"5,2"
32052618;EEEFM PROF HOSANA SALLES;"5,2"
32059310;EEEFM AGOSTINHO AGRIZZI;"5,3"
32052189;EEEFM AGOSTINHO SIMONATO;"5,3"
32059906;EEEFM LEOPOLDINO ROCHA;"5,3"
32052308;CEEFMTI FRANCISCO COELHO AVILA JUNIOR;"5,4"
32044364;EEEFM CEL ANTONIO DUARTE;"5,4"
32060920;EEEFM PRESIDENTE KENNEDY;"5,5"
32054092;EEEFM JOAO BLEY;"5,6"
32059868;EEEM PROF JOSE VEIGA DA SILVA;"5,7"
32078552;EEEFM ANTONIO SABATINI SIMONI;"6,3"
32078170;EEEFM GUILHERME MILANEZE;"6,3"
32051328;EEEFM FERNANDO DE ABREU;"6,4"
32037180;EEEFM JACARAIPE;"3,7"
32035500;EEEFM PROFESSOR JOAO ANTUNES DAS DORES;"3,8"
32040695;EEEFM AFLORDIZIO CARVALHO DA SILVA;"3,8"
32063199;EEEFM ELZA LEMOS ANDREATTA;4
