NM_MUN,CD_MUN,regional,id_regional
Afonso Cláudio,3200102,SRE Afonso Cláudio,2266
Conceição do Castelo,3201704,SRE Afonso Cláudio,2266
Laranja da Terra,3203163,SRE Afonso Cláudio,2266
Brejetuba,3201159,SRE Afonso Cláudio,2266
Venda Nova do Imigrante,3205069,SRE Afonso Cláudio,2266
Domingos Martins,3201902,SRE Afonso Cláudio,2266
Santa Maria de Jetibá,3204559,SRE Afonso Cláudio,2266
Barra de São Francisco,3200904,SRE Barra de São Francisco,2267
Águia Branca,3200136,SRE Barra de São Francisco,2267
Ecoporanga,3202108,SRE Barra de São Francisco,2267
Água Doce do Norte,3200169,SRE Barra de São Francisco,2267
Mantenópolis,3203304,SRE Barra de São Francisco,2267
Cachoeiro de Itapemirim,3201209,SRE Cachoeiro de Itapemirim,2272
Castelo,3201407,SRE Cachoeiro de Itapemirim,2272
Iconha,3202603,SRE Cachoeiro de Itapemirim,2272
Vargem Alta,3205036,SRE Cachoeiro de Itapemirim,2272
Muqui,3203809,SRE Cachoeiro de Itapemirim,2272
Atílio Vivácqua,3200706,SRE Cachoeiro de Itapemirim,2272
Rio Novo do Sul,3204401,SRE Cachoeiro de Itapemirim,2272
Mimoso do Sul,3203403,SRE Cachoeiro de Itapemirim,2272
Presidente Kennedy,3204302,SRE Cachoeiro de Itapemirim,2272
Itapemirim,3202801,SRE Cachoeiro de Itapemirim,2272
Jerônimo Monteiro,3203106,SRE Cachoeiro de Itapemirim,2272
Marataízes,3203320,SRE Cachoeiro de Itapemirim,2272
Vitória,3205309,SRE Carapina,2276
Serra,3205002,SRE Carapina,2276
Santa Teresa,3204609,SRE Carapina,2276
Fundão,3202207,SRE Carapina,2276
Cariacica,3201308,SRE Cariacica,2274
Viana,3205101,SRE Cariacica,2274
Marechal Floriano,3203346,SRE Cariacica,2274
Santa Leopoldina,3204500,SRE Cariacica,2274
Alto Rio Novo,3200359,SRE Colatina,2270
Baixo Guandu,3200805,SRE Colatina,2270
Colatina,3201506,SRE Colatina,2270
Itaguaçu,3202702,SRE Colatina,2270
Itarana,3202900,SRE Colatina,2270
Governador Lindenberg,3202256,SRE Colatina,2270
Marilândia,3203353,SRE Colatina,2270
Pancas,3204005,SRE Colatina,2270
São Domingos do Norte,3204658,SRE Colatina,2270
São Roque do Canaã,3204955,SRE Colatina,2270
Guaçuí,3202306,SRE Guaçuí,2268
Alegre,3200201,SRE Guaçuí,2268
Bom Jesus do Norte,3201100,SRE Guaçuí,2268
Divino de São Lourenço,3201803,SRE Guaçuí,2268
Dores do Rio Preto,3202009,SRE Guaçuí,2268
São José do Calçado,3204807,SRE Guaçuí,2268
Apiacá,3200508,SRE Guaçuí,2268
Iúna,3203007,SRE Guaçuí,2268
Ibatiba,3202454,SRE Guaçuí,2268
Ibitirama,3202553,SRE Guaçuí,2268
Irupi,3202652,SRE Guaçuí,2268
Muniz Freire,3203700,SRE Guaçuí,2268
Linhares,3203205,SRE Linhares,2271
Sooretama,3205010,SRE Linhares,2271
Rio Bananal,3204351,SRE Linhares,2271
Aracruz,3200607,SRE Linhares,2271
Ibiraçu,3202504,SRE Linhares,2271
João Neiva,3203130,SRE Linhares,2271
Nova Venécia,3203908,SRE Nova Venécia,2273
Boa Esperança,3201001,SRE Nova Venécia,2273
Vila Valério,3205176,SRE Nova Venécia,2273
São Gabriel da Palha,3204708,SRE Nova Venécia,2273
Vila Pavão,3205150,SRE Nova Venécia,2273
Pinheiros,3204104,SRE Nova Venécia,2273
Mucurici,3203601,SRE Nova Venécia,2273
Ponto Belo,3204252,SRE Nova Venécia,2273
Montanha,3203502,SRE Nova Venécia,2273
São Mateus,3204906,SRE São Mateus,2275
Jaguaré,3203056,SRE São Mateus,2275
Conceição da Barra,3201605,SRE São Mateus,2275
Pedro Canário,3204054,SRE São Mateus,2275
Vila Velha,3205200,SRE Vila Velha,2269
Guarapari,3202405,SRE Vila Velha,2269
Anchieta,3200409,SRE Vila Velha,2269
Piúma,3204203,SRE Vila Velha,2269
Alfredo Chaves,3200300,SRE Vila Velha,2269
