sre,municipio,escola,med_escola,cod_inep
SRE AFONSO CLAUDIO,AFONSO CLÁUDIO,CEEFMTI AFONSO CLÁUDIO,5.538461538461538,32025920.0
SRE AFONSO CLAUDIO,AFONSO CLÁUDIO,EEEFM ELVIRA BARROS,6.3,32027753.0
SRE AFONSO CLAUDIO,AFONSO CLÁUDIO,EEEFM JOSÉ GIESTAS,4.705882352941177,32027540.0
SRE AFONSO CLAUDIO,AFONSO CLÁUDIO,EEEFM JOSÉ ROBERTO CHRISTO,5.666666666666667,32027206.0
SRE AFONSO CLAUDIO,AFONSO CLÁUDIO,EEEFM MARIA DE ABREU ALVIM,4.454545454545454,32027567.0
SRE AFONSO CLAUDIO,AFONSO CLÁUDIO,EEEM MATA FRIA,7.0,32080727.0
SRE AFONSO CLAUDIO,BREJETUBA,EEEFM FAZENDA CAMPORÊS,5.6,32027532.0
SRE AFONSO CLAUDIO,BREJETUBA,EEEFM LEOGILDO SEVERIANO DE SOUZA,4.3,32026480.0
SRE AFONSO CLAUDIO,BREJETUBA,EEEFM MARLENE BRANDÃO,5.75,32026536.0
SRE AFONSO CLAUDIO,BREJETUBA,EEEFM SÃO JORGE,4.5,32026846.0
SRE AFONSO CLAUDIO,BREJETUBA,EEEFM ÁLVARO CASTELO,7.0,32026552.0
SRE AFONSO CLAUDIO,CONCEIÇÃO DO CASTELO,CEEFMTI ELISA PAIVA,4.857142857142857,32082533.0
SRE AFONSO CLAUDIO,DOMINGOS MARTINS,EEEFM GISELA SALLOKER FAYET,6.0,32029292.0
SRE AFONSO CLAUDIO,DOMINGOS MARTINS,EEEFM PEDRA AZUL,4.2,32028806.0
SRE AFONSO CLAUDIO,DOMINGOS MARTINS,EEEFM PONTO DO ALTO,5.555555555555555,32029306.0
SRE AFONSO CLAUDIO,DOMINGOS MARTINS,EEEFM TEÓFILO PAULINO,8.325581395348838,32028580.0
SRE AFONSO CLAUDIO,LARANJA DA TERRA,EEEFM JOAQUIM CAETANO DE PAIVA,5.5,32029594.0
SRE AFONSO CLAUDIO,LARANJA DA TERRA,EEEFM LUIZ JOUFFROY,5.7894736842105265,32029438.0
SRE AFONSO CLAUDIO,LARANJA DA TERRA,EEEM SOBREIRO,6.666666666666667,32078315.0
SRE AFONSO CLAUDIO,SANTA MARIA DE JETIBÁ,EEEFM ALTO RIO POSSMOSER,4.9,32032633.0
SRE AFONSO CLAUDIO,SANTA MARIA DE JETIBÁ,EEEFM FAZENDA EMILIO SCHROEDER,4.5,32032579.0
SRE AFONSO CLAUDIO,SANTA MARIA DE JETIBÁ,EEEFM FREDERICO BOLDT,4.2,32032200.0
SRE AFONSO CLAUDIO,SANTA MARIA DE JETIBÁ,EEEFM GRAÇA ARANHA,6.35,32032277.0
SRE AFONSO CLAUDIO,SANTA MARIA DE JETIBÁ,EEEFM SÃO LUÍS,5.583333333333333,32032234.0
SRE AFONSO CLAUDIO,SANTA MARIA DE JETIBÁ,EEEM FRANCISCO GUILHERME,5.0,32094604.0
SRE AFONSO CLAUDIO,VENDA NOVA DO IMIGRANTE,EEEFM FIORAVANTE CALIAMN,5.175675675675675,32030177.0
SRE BARRA DE SAO FRANCISCO,BARRA DE SÃO FRANCISCO,CEEFMTI JOÃO XXIII,5.32,32000987.0
SRE BARRA DE SAO FRANCISCO,BARRA DE SÃO FRANCISCO,EEEFM ALADIM SILVESTRE DE ALMEIDA,4.125,32001606.0
SRE BARRA DE SAO FRANCISCO,BARRA DE SÃO FRANCISCO,EEEFM GOVERNADOR LINDENBERG,4.297297297297297,32000979.0
SRE BARRA DE SAO FRANCISCO,BARRA DE SÃO FRANCISCO,EEEFM PROFESSORA ASCENDINA FEITOSA,5.5,32001916.0
SRE BARRA DE SAO FRANCISCO,ECOPORANGA,CEEFM DANIEL COMBONI,6.142857142857143,32002939.0
SRE BARRA DE SAO FRANCISCO,ECOPORANGA,EEEFM DE JOASSUBA SR ANTONIO PATRÍCIO DE FONTOURA,5.333333333333333,32003790.0
SRE BARRA DE SAO FRANCISCO,ECOPORANGA,EEEFM ECOPORANGA,7.714285714285714,32003005.0
SRE BARRA DE SAO FRANCISCO,ECOPORANGA,JOSÉ TEIXEIRA FIALHO,8.5,32003595.0
SRE BARRA DE SAO FRANCISCO,MANTENÓPOLIS,EEEFM CHRISTIANO DIAS LOPES,7.2727272727272725,32004273.0
SRE BARRA DE SAO FRANCISCO,MANTENÓPOLIS,EEEFM JOB PIMENTEL,4.65,32004303.0
SRE BARRA DE SAO FRANCISCO,MANTENÓPOLIS,EEEFM PALMERINDO VIEIRA CAMPOS,6.25,32004532.0
SRE BARRA DE SAO FRANCISCO,ÁGUA DOCE DO NORTE,EEEFM DEMERVAL LEITE RIBEIRO,8.133333333333333,32000499.0
SRE BARRA DE SAO FRANCISCO,ÁGUA DOCE DO NORTE,EEEFM OLEGARIO MARTINS,6.25,32000480.0
