codigo_da_regional,regional,municipio,previstos_23,avaliados_23,proficiencia_media_23,abaixo_do_basico_23,basico_23,proficiente_23,avancado_23,previstos_24,avaliados_24,proficiencia_media_24,abaixo_do_basico_24,basico_24,proficiente_24,avancado_24,evolucao_proficiencia
27,SRE CARAPINA,FUNDAO,24,22,271,0.64,0.23,0.09,0.05,101,95,312,0.36,0.21,0.25,0.18,41
27,SRE CARAPINA,SANTA TERESA,125,121,305,0.37,0.25,0.26,0.12,130,123,300,0.34,0.29,0.29,0.07,-5
27,SRE CARAPINA,SERRA,3123,2687,265,0.64,0.24,0.1,0.02,3741,3515,281,0.51,0.27,0.16,0.06,16
27,SRE CARAPINA,VITORIA,1913,1694,271,0.6,0.25,0.12,0.03,2755,2523,282,0.49,0.27,0.19,0.05,11
28,SRE VILA VELHA,ALFREDO CHAVES,53,43,292,0.33,0.44,0.21,0.02,60,53,307,0.38,0.17,0.25,0.21,15
28,SRE VILA VELHA,ANCHIETA,103,98,306,0.24,0.4,0.27,0.09,261,248,297,0.35,0.34,0.24,0.06,-9
28,SRE VILA VELHA,GUARAPARI,814,709,266,0.65,0.21,0.13,0.02,1001,931,275,0.55,0.27,0.15,0.03,9
28,SRE VILA VELHA,PIUMA,98,91,280,0.55,0.25,0.12,0.08,153,147,283,0.44,0.36,0.17,0.03,3
28,SRE VILA VELHA,VILA VELHA,2125,1885,273,0.58,0.24,0.13,0.05,2841,2682,277,0.54,0.26,0.16,0.04,4
29,SRE CARIACICA,CARIACICA,2237,1914,257,0.71,0.19,0.08,0.02,2399,2200,264,0.64,0.22,0.11,0.03,7
29,SRE CARIACICA,MARECHAL FLORIANO,132,118,368,0.15,0.14,0.19,0.53,183,178,319,0.26,0.24,0.34,0.16,-49
29,SRE CARIACICA,SANTA LEOPOLDINA,54,31,255,0.71,0.19,0.06,0.03,64,58,269,0.59,0.28,0.12,0.02,14
29,SRE CARIACICA,VIANA,548,474,262,0.67,0.21,0.09,0.03,716,629,259,0.67,0.23,0.1,0.0,-3
30,SRE LINHARES,ARACRUZ,732,629,276,0.56,0.25,0.14,0.05,746,700,281,0.48,0.3,0.18,0.04,5
30,SRE LINHARES,IBIRACU,62,55,255,0.69,0.2,0.11,0.0,84,77,273,0.53,0.3,0.16,0.01,18
30,SRE LINHARES,JOAO NEIVA,38,32,254,0.69,0.19,0.09,0.03,104,103,289,0.43,0.35,0.18,0.04,35
30,SRE LINHARES,LINHARES,920,792,272,0.58,0.26,0.13,0.03,1087,997,277,0.54,0.28,0.15,0.03,5
30,SRE LINHARES,RIO BANANAL,83,77,275,0.61,0.22,0.14,0.03,146,141,289,0.39,0.39,0.18,0.04,14
30,SRE LINHARES,SOORETAMA,142,125,265,0.6,0.3,0.1,0.0,214,207,266,0.64,0.22,0.13,0.02,1
31,SRE SAO MATEUS,CONCEICAO DA BARRA,210,196,291,0.48,0.22,0.19,0.11,248,237,274,0.51,0.3,0.16,0.03,-17
31,SRE SAO MATEUS,JAGUARE,186,174,270,0.58,0.28,0.13,0.01,225,206,284,0.48,0.28,0.21,0.03,14
31,SRE SAO MATEUS,PEDRO CANARIO,179,164,268,0.63,0.19,0.14,0.04,221,217,293,0.43,0.26,0.2,0.12,25
31,SRE SAO MATEUS,SAO MATEUS,951,877,297,0.45,0.23,0.17,0.16,924,869,280,0.53,0.26,0.16,0.05,-17
32,SRE BARRA DE SAO FRANCISCO,AGUA DOCE DO NORTE,61,58,253,0.72,0.19,0.07,0.02,107,103,264,0.67,0.22,0.11,0.0,11
32,SRE BARRA DE SAO FRANCISCO,AGUIA BRANCA,71,67,266,0.67,0.24,0.06,0.03,108,107,298,0.38,0.25,0.23,0.13,32
32,SRE BARRA DE SAO FRANCISCO,BARRA DE SAO FRANCISCO,267,249,288,0.45,0.3,0.19,0.06,302,300,281,0.51,0.28,0.17,0.03,-7
32,SRE BARRA DE SAO FRANCISCO,ECOPORANGA,165,153,255,0.72,0.18,0.08,0.02,179,175,272,0.59,0.24,0.13,0.05,17
32,SRE BARRA DE SAO FRANCISCO,MANTENOPOLIS,90,82,283,0.52,0.21,0.18,0.09,120,114,305,0.38,0.25,0.2,0.18,22
33,SRE NOVA VENECIA,BOA ESPERANCA,78,71,277,0.58,0.21,0.11,0.1,143,140,287,0.49,0.26,0.18,0.07,10
33,SRE NOVA VENECIA,MONTANHA,128,104,267,0.63,0.29,0.06,0.02,109,107,268,0.64,0.21,0.12,0.03,1
33,SRE NOVA VENECIA,MUCURICI,45,42,261,0.69,0.19,0.07,0.05,34,33,271,0.61,0.21,0.15,0.03,10
33,SRE NOVA VENECIA,NOVA VENECIA,266,228,271,0.6,0.23,0.16,0.01,430,414,296,0.41,0.26,0.22,0.11,25
33,SRE NOVA VENECIA,PINHEIROS,156,149,273,0.58,0.23,0.18,0.01,158,156,273,0.54,0.29,0.13,0.04,0
33,SRE NOVA VENECIA,PONTO BELO,66,59,251,0.8,0.15,0.05,0.0,68,68,270,0.62,0.22,0.15,0.01,19
33,SRE NOVA VENECIA,SAO GABRIEL DA PALHA,243,223,283,0.52,0.27,0.14,0.07,228,220,295,0.37,0.35,0.23,0.05,12
33,SRE NOVA VENECIA,VILA PAVAO,46,45,329,0.22,0.18,0.38,0.22,84,78,309,0.32,0.27,0.23,0.18,-20
33,SRE NOVA VENECIA,VILA VALERIO,87,82,277,0.61,0.23,0.09,0.07,102,100,291,0.41,0.35,0.15,0.09,14
34,SRE COLATINA,ALTO RIO NOVO,76,71,270,0.56,0.31,0.08,0.04,58,55,283,0.55,0.16,0.24,0.05,13
34,SRE COLATINA,BAIXO GUANDU,106,87,253,0.68,0.21,0.09,0.02,259,249,278,0.53,0.25,0.14,0.08,25
34,SRE COLATINA,COLATINA,614,552,267,0.63,0.22,0.13,0.02,684,654,292,0.4,0.32,0.21,0.07,25
34,SRE COLATINA,GOVERNADOR LINDENBERG,120,116,281,0.51,0.28,0.16,0.05,79,75,288,0.41,0.4,0.15,0.04,7
34,SRE COLATINA,ITAGUACU,45,43,265,0.63,0.21,0.14,0.02,90,88,291,0.4,0.38,0.18,0.05,26
34,SRE COLATINA,ITARANA,61,58,269,0.66,0.19,0.1,0.05,64,64,299,0.33,0.38,0.2,0.09,30
34,SRE COLATINA,MARILANDIA,51,46,288,0.52,0.15,0.33,0.0,75,72,275,0.61,0.17,0.18,0.04,-13
