codigo_da_regional,regional,municipio,previstos_23,avaliados_23,avaliados_(pct)_23,proficiencia_media_23,abaixo_do_basico_23,basico_23,proficiente_23,avancado_23,previstos_24,avaliados_24,avaliados_(pct)_24,proficiencia_media_24,abaixo_do_basico_24,basico_24,proficiente_24,avancado_24
37,SRE AFONSO CLAUDIO,AFONSO CLAUDIO,203.0,195.0,96.1,271.0,29.0,40.0,29.0,3.0,205,192,94,284,21,41,34,4
32,SRE BARRA DE SAO FRANCISCO,AGUA DOCE DO NORTE,93.0,88.0,94.6,269.4,31.9,37.1,31.1,0.0,107,103,96,274,30,39,26,5
32,SRE BARRA DE SAO FRANCISCO,AGUIA BRANCA,90.0,86.0,95.6,266.2,33.8,40.6,21.0,4.7,108,107,99,281,22,43,31,4
36,SRE COMENDADORA JUREMA MORETZ SOHN,ALEGRE,220.0,205.0,93.2,281.6,20.8,45.3,32.2,2.8,182,177,97,288,19,41,32,7
28,SRE VILA VELHA,ALFREDO CHAVES,73.0,63.0,86.3,288.4,13.0,49.1,33.6,5.0,60,53,88,290,21,34,42,4
34,SRE COLATINA,ALTO RIO NOVO,76.0,71.0,93.4,272.0,28.0,42.0,30.0,0.0,58,55,95,283,27,35,29,9
28,SRE VILA VELHA,ANCHIETA,322.0,313.0,97.2,292.7,13.1,40.1,41.9,5.7,261,248,95,290,15,42,40,4
36,SRE COMENDADORA JUREMA MORETZ SOHN,APIACA,32.0,29.0,90.6,292.0,7.0,52.0,38.0,3.0,55,54,98,274,30,39,28,4
30,SRE LINHARES,ARACRUZ,732.0,629.0,85.9,269.0,33.0,36.0,27.0,4.0,746,701,94,284,21,41,34,4
35,SRE CACHOEIRO DE ITAPEMIRIM,ATILIO VIVACQUA,123.0,118.0,95.9,241.9,52.0,35.1,12.4,0.7,86,86,100,323,6,20,49,26
34,SRE COLATINA,BAIXO GUANDU,199.0,172.0,86.4,258.3,45.6,27.6,26.8,0.5,259,249,96,273,36,26,33,5
32,SRE BARRA DE SAO FRANCISCO,BARRA DE SAO FRANCISCO,267.0,249.0,93.3,273.0,28.0,40.0,29.0,3.0,302,300,99,283,19,46,32,4
33,SRE NOVA VENECIA,BOA ESPERANCA,135.0,127.0,94.1,275.3,31.5,35.4,29.7,2.8,143,140,98,292,12,45,39,4
36,SRE COMENDADORA JUREMA MORETZ SOHN,BOM JESUS DO NORTE,15.0,13.0,86.7,296.0,15.0,38.0,38.0,8.0,20,18,90,289,6,61,28,6
37,SRE AFONSO CLAUDIO,BREJETUBA,96.0,94.0,97.9,297.6,12.5,37.3,41.3,8.8,132,126,95,296,14,37,43,6
35,SRE CACHOEIRO DE ITAPEMIRIM,CACHOEIRO DE ITAPEMIRIM,1226.0,1125.0,91.8,279.7,22.5,43.5,30.5,3.5,1230,1176,96,283,22,37,37,5
29,SRE CARIACICA,CARIACICA,2544.0,2197.0,86.4,260.3,39.7,34.7,23.5,2.9,2399,2200,92,272,30,39,27,5
35,SRE CACHOEIRO DE ITAPEMIRIM,CASTELO,269.0,254.0,94.4,262.2,37.9,33.3,25.5,3.2,221,215,97,295,13,40,39,8
34,SRE COLATINA,COLATINA,763.0,697.0,91.3,267.3,35.1,34.2,26.8,3.0,684,654,96,290,17,37,40,7
31,SRE SAO MATEUS,CONCEICAO DA BARRA,210.0,196.0,93.3,264.0,34.0,45.0,19.0,2.0,248,237,96,280,25,38,29,7
37,SRE AFONSO CLAUDIO,CONCEICAO DO CASTELO,81.0,75.0,92.6,284.0,21.0,39.0,37.0,3.0,81,77,95,286,22,39,35,4
36,SRE COMENDADORA JUREMA MORETZ SOHN,DIVINO DE SAO LOURENCO,36.0,31.0,86.1,283.0,13.0,48.0,39.0,0.0,27,27,100,309,4,41,48,7
37,SRE AFONSO CLAUDIO,DOMINGOS MARTINS,260.0,247.0,95.0,299.0,14.0,31.0,43.0,11.0,262,254,97,297,14,34,42,10
36,SRE COMENDADORA JUREMA MORETZ SOHN,DORES DO RIO PRETO,70.0,66.0,94.3,297.9,9.5,43.8,39.7,7.9,72,70,97,296,9,41,46,4
32,SRE BARRA DE SAO FRANCISCO,ECOPORANGA,201.0,189.0,94.0,251.6,47.8,34.2,15.4,2.0,179,175,98,271,29,46,21,5
27,SRE CARAPINA,FUNDAO,70.0,67.0,95.7,264.1,44.9,24.1,29.7,1.3,101,95,94,288,20,35,40,5
34,SRE COLATINA,GOVERNADOR LINDENBERG,120.0,116.0,96.7,277.0,18.0,52.0,29.0,1.0,79,75,95,283,19,44,33,4
36,SRE COMENDADORA JUREMA MORETZ SOHN,GUACUI,141.0,131.0,92.9,292.9,15.7,41.2,37.3,5.9,150,143,95,276,29,35,34,3
28,SRE VILA VELHA,GUARAPARI,873.0,760.0,87.1,259.1,41.4,34.1,21.7,3.7,1001,932,93,280,22,43,31,4
36,SRE COMENDADORA JUREMA MORETZ SOHN,IBATIBA,122.0,115.0,94.3,292.0,14.0,38.0,44.0,3.0,117,110,94,295,10,38,45,7
30,SRE LINHARES,IBIRACU,62.0,54.0,87.1,277.0,28.0,43.0,24.0,6.0,84,77,92,279,23,42,32,3
36,SRE COMENDADORA JUREMA MORETZ SOHN,IBITIRAMA,87.0,77.0,88.5,253.0,49.0,29.0,17.0,5.0,66,63,95,280,24,40,33,3
35,SRE CACHOEIRO DE ITAPEMIRIM,ICONHA,106.0,104.0,98.1,288.0,13.0,52.0,30.0,5.0,80,80,100,305,10,30,49,11
36,SRE COMENDADORA JUREMA MORETZ SOHN,IRUPI,79.0,71.0,89.9,292.0,13.0,49.0,35.0,3.0,74,70,95,300,7,46,43,4
34,SRE COLATINA,ITAGUACU,96.0,92.0,95.8,265.6,38.1,39.5,17.7,5.2,90,88,98,290,17,36,40,7
35,SRE CACHOEIRO DE ITAPEMIRIM,ITAPEMIRIM,154.0,141.0,91.6,266.5,33.0,42.9,23.2,0.9,226,220,97,293,14,43,35,7
34,SRE COLATINA,ITARANA,61.0,58.0,95.1,265.0,40.0,26.0,31.0,3.0,64,64,100,282,22,47,22,9
36,SRE COMENDADORA JUREMA MORETZ SOHN,IUNA,212.0,192.0,90.6,295.0,14.0,37.0,40.0,9.0,205,202,99,297,12,41,36,11
31,SRE SAO MATEUS,JAGUARE,216.0,204.0,94.4,277.6,27.3,40.4,27.6,4.7,225,206,92,287,17,48,31,5
35,SRE CACHOEIRO DE ITAPEMIRIM,JERONIMO MONTEIRO,69.0,67.0,97.1,259.3,40.4,37.6,22.6,0.0,57,54,95,295,9,44,41,6
30,SRE LINHARES,JOAO NEIVA,81.0,74.0,91.4,279.3,25.6,36.8,32.4,5.3,104,103,99,292,17,36,39,8
37,SRE AFONSO CLAUDIO,LARANJA DA TERRA,91.0,90.0,98.9,290.0,17.0,33.0,47.0,3.0,90,89,99,300,12,38,38,11
30,SRE LINHARES,LINHARES,1081.0,945.0,87.4,266.5,34.7,37.6,25.2,2.5,1087,998,92,275,27,40,30,4
32,SRE BARRA DE SAO FRANCISCO,MANTENOPOLIS,90.0,82.0,91.1,269.0,40.0,29.0,23.0,7.0,120,114,95,294,16,37,37,11
35,SRE CACHOEIRO DE ITAPEMIRIM,MARATAIZES,377.0,345.0,91.5,290.0,19.0,37.0,36.0,9.0,404,389,96,301,8,38,47,8
29,SRE CARIACICA,MARECHAL FLORIANO,148.0,134.0,90.5,308.2,7.8,32.8,49.3,10.2,183,178,97,306,10,31,49,10
34,SRE COLATINA,MARILANDIA,88.0,82.0,93.2,282.4,19.2,39.9,37.9,2.4,75,72,96,273,38,29,26,7
35,SRE CACHOEIRO DE ITAPEMIRIM,MIMOSO DO SUL,151.0,145.0,96.0,271.0,32.0,36.0,29.0,3.0,154,146,95,296,15,37,42,6
33,SRE NOVA VENECIA,MONTANHA,128.0,104.0,81.2,272.0,23.0,54.0,21.0,2.0,109,107,98,272,35,43,21,2
33,SRE NOVA VENECIA,MUCURICI,45.0,42.0,93.3,263.0,40.0,31.0,24.0,5.0,34,33,97,279,33,24,39,3
36,SRE COMENDADORA JUREMA MORETZ SOHN,MUNIZ FREIRE,179.0,169.0,94.4,285.7,20.3,36.9,38.9,3.8,144,140,97,298,11,35,43,11
35,SRE CACHOEIRO DE ITAPEMIRIM,MUQUI,77.0,66.0,85.7,277.0,26.0,45.0,23.0,6.0,99,98,99,281,23,35,36,6
33,SRE NOVA VENECIA,NOVA VENECIA,359.0,321.0,89.4,281.1,24.1,37.6,33.8,4.6,430,414,96,289,19,39,34,8
34,SRE COLATINA,PANCAS,156.0,135.0,86.5,267.0,34.0,39.0,25.0,1.0,121,106,88,274,24,50,22,5
31,SRE SAO MATEUS,PEDRO CANARIO,196.0,181.0,92.3,265.4,33.8,41.2,19.0,5.1,221,217,98,290,21,34,37,8
33,SRE NOVA VENECIA,PINHEIROS,173.0,166.0,96.0,274.6,28.8,39.5,28.2,3.6,158,156,99,276,24,47,25,4
28,SRE VILA VELHA,PIUMA,98.0,91.0,92.9,288.0,19.0,38.0,37.0,5.0,153,147,96,289,18,35,42,5
33,SRE NOVA VENECIA,PONTO BELO,66.0,59.0,89.4,251.0,54.0,25.0,20.0,0.0,68,68,100,273,31,37,32,0
35,SRE CACHOEIRO DE ITAPEMIRIM,PRESIDENTE KENNEDY,83.0,80.0,96.4,273.2,29.8,41.2,26.7,2.4,93,81,87,291,16,40,42,2
30,SRE LINHARES,RIO BANANAL,134.0,127.0,94.8,282.9,21.0,40.2,36.0,2.2,146,141,97,279,23,45,27,4
35,SRE CACHOEIRO DE ITAPEMIRIM,RIO NOVO DO SUL,111.0,98.0,88.3,270.0,36.0,34.0,24.0,6.0,109,103,94,275,31,31,30,8
29,SRE CARIACICA,SANTA LEOPOLDINA,72.0,49.0,68.1,256.9,42.5,34.5,16.1,5.9,64,58,91,269,36,33,28,3
37,SRE AFONSO CLAUDIO,SANTA MARIA DE JETIBA,226.0,217.0,96.0,291.0,16.0,39.0,37.0,7.0,247,244,99,300,9,39,47,6
27,SRE CARAPINA,SANTA TERESA,156.0,152.0,97.4,297.0,10.6,36.5,46.2,6.6,130,123,95,289,15,43,37,5
34,SRE COLATINA,SAO DOMINGOS DO NORTE,75.0,69.0,92.0,265.0,39.0,35.0,22.0,4.0,77,75,97,285,19,52,24,5
33,SRE NOVA VENECIA,SAO GABRIEL DA PALHA,243.0,223.0,91.8,281.0,26.0,33.0,37.0,4.0,228,220,96,290,14,45,37,4
36,SRE COMENDADORA JUREMA MORETZ SOHN,SAO JOSE DO CALCADO,75.0,72.0,96.0,258.8,44.3,32.0,22.2,1.5,85,84,99,267,39,35,24,2
31,SRE SAO MATEUS,SAO MATEUS,974.0,900.0,92.4,275.9,27.4,36.9,31.5,4.2,924,869,94,280,23,41,31,5
34,SRE COLATINA,SAO ROQUE DO CANAA,83.0,77.0,92.8,270.9,28.5,50.3,17.1,4.1,79,74,94,278,23,46,28,3
27,SRE CARAPINA,SERRA,3582.0,3130.0,87.4,266.1,35.3,37.1,25.3,3.3,3741,3514,94,284,20,40,35,4
30,SRE LINHARES,SOORETAMA,192.0,174.0,90.6,268.1,32.6,41.6,24.0,1.8,214,207,97,276,27,40,31,3
35,SRE CACHOEIRO DE ITAPEMIRIM,VARGEM ALTA,148.0,147.0,99.3,287.0,16.0,49.0,35.0,1.0,170,168,99,304,9,35,48,8
37,SRE AFONSO CLAUDIO,VENDA NOVA DO IMIGRANTE,148.0,132.0,89.2,261.7,37.2,38.3,20.5,4.2,161,151,94,298,10,40,41,9
29,SRE CARIACICA,VIANA,636.0,553.0,86.9,258.1,42.4,33.4,23.0,1.0,716,629,88,269,30,40,28,2
